plant_species,plant_accepted_name,plant_family
Gomphocarpus fruticosus,Gomphocarpus fruticosus (L.) W.T.Aiton,Apocynaceae
Vaccinium angustifolium,Vaccinium angustifolium Aiton,Ericaceae
Phlox drummondii,Phlox drummondii Hook.,Polemoniaceae
Rubus arcticus spp. arcticus,Rubus arcticus subsp. arcticus ,Rosaceae
Vicia faba var. minor,Vicia faba var. minor Peterm.,Fabaceae
Gaylussacia baccata,Gaylussacia baccata (Wangenh.) K.Koch,Ericaceae
Kalmia angustifolia,Kalmia angustifolia L.,Ericaceae
Chamaepericlymenum canadense,Chamaepericlymenum canadense (L.) Asch. & Graebn.,Cornaceae
Rumex acetosella,Rumex acetosella L.,Polygonaceae
Lysimachia quadrifolia,Lysimachia quadrifolia L.,Primulaceae
Stenocereus thurberi,Stenocereus thurberi (Engelm.) Buxb.,Cactaceae
Scadoxus multiflorus subsp. katherinae,Scadoxus multiflorus subsp. katharinae (Baker) Friis & Nordal,Amaryllidaceae
Scadoxus multiflorus subsp. multiflorus,Scadoxus multiflorus subsp. multiflorus ,Amaryllidaceae
Brunsvigia marginata,Brunsvigia marginata (Jacq.) W.T.Aiton,Amaryllidaceae
Cyrtanthus elatus,Cyrtanthus elatus (Jacq.) Traub,Amaryllidaceae
Crinum campanulatum,Crinum campanulatum Herb.,Amaryllidaceae
Alseuosmia sp.,Alseuosmia A.Cunn.,Alseuosmiaceae
Haemanthus albiflos,Haemanthus albiflos Jacq.,Amaryllidaceae
Haemanthus coccineus,Haemanthus coccineus L.,Amaryllidaceae
Haemanthus deformis,Haemanthus deformis Hook.f.,Amaryllidaceae
Haemanthus humilis subsp. hirsutus,Haemanthus humilis subsp. hirsutus (Baker) Snijman,Amaryllidaceae
Scadoxus puniceus,Scadoxus puniceus (L.) Friis & Nordal,Amaryllidaceae
Scadoxus membranaceus,Scadoxus membranaceus (Baker) Friis & Nordal,Amaryllidaceae
Pitcairnia brittoniana,Pitcairnia brittoniana Mez,Bromeliaceae
Mouriri myrtilloides subsp. parvifolia,Mouriri myrtilloides subsp. parvifolia (Benth.) Morley,Melastomataceae
Durio zibethinus,Durio zibethinus L.,Malvaceae
Parkia speciosa,Parkia speciosa Hassk.,Fabaceae
Parkia timoriana,Parkia timoriana (DC.) Merr.,Fabaceae
Vaccinium aff. corymbosum,Vaccinium L.,Ericaceae
Pittosporum tenuifolium,Pittosporum tenuifolium Gaertn.,Pittosporaceae
Leptospermum scoparium var. scoparium,Leptospermum scoparium f. scoparium ,NA
Leptospermum scoparium 'Red Falls',Leptospermum scoparium J.R.Forst. & G.Forst.,Myrtaceae
Tetrastylis ovalis,Tetrastylis ovalis Killip,Passifloraceae
Multiple species - see Appendix 1,NA,NA
Mimulus lewisii,Mimulus lewisii Pursh,Phrymaceae
Mimulus cardinalis,Mimulus cardinalis Douglas ex Benth.,Phrymaceae
Cypripedium guttatum,Cypripedium guttatum Sw.,Orchidaceae
Tristerix aphyllus,Tristerix aphyllus Tiegh. ex Barlow & Wiens,Loranthaceae
Rhododendron excellens,Rhododendron excellens Hemsl. & E.H.Wilson,Ericaceae
Salvia rhombifolia,Salvia rhombifolia Ruiz & Pav.,Lamiaceae
Myracrodruon urundeuva,Myracrodruon urundeuva Allem.,Anacardiaceae
Seemannia sylvatica,Seemannia sylvatica Baill.,Gesneriaceae
Hyalis argentea var. latisquama,Hyalis argentea var. latisquama Cabrera,Asteraceae
Euterpe oleracea,Euterpe oleracea Mart.,Arecaceae
Ipomopsis aggregata aggregata,Ipomopsis aggregata subsp. aggregata ,Polemoniaceae
Ipomopsis tenuituba tenuituba,Ipomopsis tenuituba subsp. tenuituba ,Polemoniaceae
Vaccinium corymbosum L.,Vaccinium corymbosum L.,Ericaceae
Hymenocallis coronaria,Hymenocallis coronaria (Leconte) Kunth,Amaryllidaceae
Apios priceana,Apios priceana Robinson,Fabaceae
Hymenoxys herbacea,Hymenoxys herbacea (Greene) Cusick,Asteraceae
Citrullus lanatus,Citrullus lanatus (Thunb.) Matsum. & Nakai,Cucurbitaceae
Gomphichis valida,Gomphichis valida Rchb.f.,Orchidaceae
Eriosyce coimasensis,Eriosyce coimasensis (F.Ritter) P.C.Guerrero & Helmut Walter,Cactaceae
Cattleya intermedia,Cattleya intermedia Graham ex Hook.,Orchidaceae
Cattleya purpurata,Cattleya purpurata (Lindl. & Paxton) Rollisson ex Lindl.,Orchidaceae
Cattleya tigrina,Cattleya tigrina A.Rich.,Orchidaceae
Cattleya coccinea,Cattleya coccinea Lindl.,Orchidaceae
Pachygenium bonariense,"Pachygenium bonariense (Lindl.) Szlach., R.González & Rutk.",Orchidaceae
Pachygenium pteryganthum,"Pachygenium pteryganthum (Rchb.f. & Warm.) Szlach., R.González & Rutk.",Orchidaceae
Brachystele widgrenii,Brachystele widgrenii (Rchb.f.) Schltr.,Orchidaceae
Brachystele camporum,Brachystele camporum (Lindl.) Schltr.,Orchidaceae
Thymus longicaulis,Thymus longicaulis C.Presl,Lamiaceae
Pontederia sagittata,Pontederia sagittata Roxb.,Pontederiaceae
Muscari comosum,Muscari comosum (L.) Mill.,Asparagaceae
Rhaphithamnus spinosus,Rhaphithamnus spinosus (Juss.) Moldenke,Verbenaceae
Dalea purpurea,Dalea purpurea Vent.,Fabaceae
Balsamorhiza macrophylla,Balsamorhiza macrophylla Nutt.,Asteraceae
Balsamorhiza sagittata,Balsamorhiza sagittata (Pursh) Nutt.,Asteraceae
Penstemon radicosus,Penstemon radicosus A.Nelson,Plantaginaceae
Penstemon strictus,Penstemon strictus Benth.,Plantaginaceae
Toxicoscordion elegans,Toxicoscordion exaltatum (Eastw.) A.Heller,Melanthiaceae
Penstemon eatonii,Penstemon eatonii A.Gray,Plantaginaceae
Penstemon cyananthus,Penstemon cyananthus Hook.,Plantaginaceae
Penstemon speciosus,Penstemon speciosus Douglas,Plantaginaceae
Chaenactis douglasii,Chaenactis douglasii Hook. & Arn.,Asteraceae
Dalea ornata,Dalea ornata (Douglas ex Hook.) Eaton & Wright,Fabaceae
Dalea searlsiae,Dalea searlsiae (A.Gray) Barneby,Fabaceae
Rubus idaeus 'Canby',Rubus idaeus Blanco,NA
Rubus idaeus 'K81-6',Rubus idaeus Blanco,NA
Rubus hybrid blackberry cultivars,Rubus hybridus Vest,NA
Aechmea pectinata,Aechmea pectinata Baker,Bromeliaceae
Bromelia antiacantha,Bromelia antiacantha Bertol.,Bromeliaceae
Anthurium bogotense,Anthurium bogotense Schott,Araceae
Anthurium caramantae,Anthurium caramantae Engl.,Araceae
Anthurium caucanum,Anthurium caucanum Engl.,Araceae
Anthurium cupreum,Anthurium cupreum Engl.,Araceae
Anthurium longegeniculatum,Anthurium longegeniculatum Engl.,Araceae
Anthurium microspadix,Anthurium microspadix Schott,Araceae
Anthurium yarumalense,Anthurium yarumalense Engl.,Araceae
Lysimachia ciliata,Lysimachia ciliata L.,Primulaceae
Apocynum androsaemilifolium,Apocynum androsaemifolium L.,Apocynaceae
Ranunculus sp.,Ranunculus L.,Ranunculaceae
Rhus glabra,Rhus glabra L.,Anacardiaceae
Cleome lutea,Cleome lutea Hook.,Cleomaceae
Cleome serrulata,Cleome serrulata Pursh,Cleomaceae
Helleborus foetidus,Helleborus foetidus L.,Ranunculaceae
Cardiocrinum cordatum,Cardiocrinum cordatum (Thunb.) Makino,Liliaceae
Anacamptis robusta,Anacamptis robusta (T.Stephenson) R.M.Bateman,Orchidaceae
Anacamptis longicornu,"Anacamptis longicornu (Poir.) R.M.Bateman, Pridgeon & M.W.Chase",Orchidaceae
Pterandra pyroidea,Pterandra pyroidea A.Juss.,Malpighiaceae
Mecardonia tenella,Mecardonia tenella (Cham. & Schltdl.) Pennell,Plantaginaceae
Vincetoxicum rossicum,Vincetoxicum rossicum (Kleopow) Barbar.,Apocynaceae
Persea americana Mill. cv. Hass,Persea americana Mill.,Lauraceae
Persea americana cv. Hass,Persea americana Mill.,Lauraceae
Goetzea elegans,Goetzea elegans Wydl.,Solanaceae
Beaucarnea gracilis,Beaucarnea gracilis Lem.,Asparagaceae
Oreocallis grandiflora,Oreocallis grandiflora R.Br.,Proteaceae
Ariocarpus retusus,Ariocarpus retusus Scheidw.,Cactaceae
Ficus andicola,Ficus andicola Standl.,Moraceae
Phragmipedium vittatum,Phragmipedium vittatum (Vell.) Rolfe,Orchidaceae
Tococa guianensis,Tococa guianensis Aubl.,Melastomataceae
Palicourea rigida,Palicourea rigida Kunth,Rubiaceae
Loasa tricolor,Loasa tricolor Ker Gawl.,Loasaceae
Castilleja linariaefolia,Castilleja linariifolia Benth.,Orobanchaceae
Carduus nutans,Carduus nutans Boiss. ex Nyman,Asteraceae
Linaria dalmatica,Linaria dalmatica (L.) Mill.,Plantaginaceae
Aeschynomene amorphoides,Aeschynomene amorphoides Rose ex B.L.Rob.,Fabaceae
Orchis italica,Orchis italica Poir.,Orchidaceae
Anacamptis pyramidalis,Anacamptis pyramidalis (L.) Rich.,Orchidaceae
Anacamptis morio,"Anacamptis morio (L.) R.M.Bateman, Pridgeon & M.W.Chase",Orchidaceae
Anacamptis papilionacea,"Anacamptis papilionacea (L.) R.M.Bateman, Pridgeon & M.W.Chase",Orchidaceae
Chrysothemis friedrichsthaliana,Chrysothemis friedrichsthaliana (Hanst.) H.E.Moore,Gesneriaceae
Silene sennenii,Silene sennenii Pau,Caryophyllaceae
Martynia annua,Martynia annua L.,Martyniaceae
Rhynchosia edulis,Rhynchosia edulis Griseb.,Fabaceae
Aquilegia vulgaris,Aquilegia vulgaris L.,Ranunculaceae
Aquilegia paui,Aquilegia paui Font Quer,Ranunculaceae
Krameria grandiflora,Krameria grandiflora A.St.-Hil.,Krameriaceae
Spondias mombin,Spondias mombin L.,Anacardiaceae
Ziziphus mistol,Ziziphus mistol Griseb.,Rhamnaceae
Gleditsia amorphoides,Gleditsia amorphoides (Griseb.) Taub.,Fabaceae
Vasconcellea quercifolia,Vasconcellea quercifolia A.St.-Hil.,Caricaceae
Metrosideros collina,Metrosideros collina (J.R.Forst. & G.Forst.) A.Gray,Myrtaceae
Banksia ericifolia,Banksia ericifolia L.f.,Proteaceae
Banksia spinulosa,Banksia spinulosa Sm.,Proteaceae
Banksia integrifolia,Banksia integrifolia L.f.,Proteaceae
Banksia serrata,Banksia serrata L.f.,Proteaceae
Ceroxylon ceriferum,Ceroxylon ceriferum (H.Karst.) Pittier,Arecaceae
Ceroxylon quindiuense,Ceroxylon quindiuense (H.Karst.) H.Wendl.,Arecaceae
Ceroxylon sasaimae,Ceroxylon sasaimae Galeano,Arecaceae
Fumana hispidula,Fumana hispidula Loscos & J.Pardo,Cistaceae
Antirrhinum valentinum,Antirrhinum valentinum Font Quer,Plantaginaceae
Antirrhinum controversum,Antirrhinum controversum Pau,Plantaginaceae
Banksia spinulosa var. spinulosa,Banksia spinulosa var. spinulosa ,Proteaceae
Hydrocleys martii,Hydrocleys martii Seub.,Alismataceae
Eryngium chamissonis,Eryngium chamissonis Urb.,Apiaceae
Lilium pomponium,Lilium pomponium L.,Liliaceae
Trinia glauca,Trinia glauca Rchb.,Apiaceae
Banksia paludosa,Banksia paludosa R.Br.,Proteaceae
Acacia sp.,Acacia Mill.,Fabaceae
Eucalyptus sp.,Eucalyptus L'Hér.,Myrtaceae
Krameria tomentosa,Krameria tomentosa A.St.-Hil.,Krameriaceae
Aechmea mariae-reginae,Aechmea mariae-reginae H.Wendl.,Bromeliaceae
Wurmbea dioica ssp. alba,Wurmbea dioica subsp. alba T.D.Macfarl.,Colchicaceae
Cypripedium parviflorum var. pubescens,Cypripedium parviflorum var. pubescens (Willd.) O.W.Knight,Orchidaceae
Coryanthes macrantha,Coryanthes macrantha Mast.,Orchidaceae
Penstemon barbatus,Penstemon barbatus (Cav.) Roth,Plantaginaceae
Silene latifolia,Silene latifolia Poir.,Caryophyllaceae
Silene stellata,Silene stellata W.T.Aiton,Caryophyllaceae
Psittacanthus eucalyptifolius,Psittacanthus eucalyptifolius (Kunth) G.Don,Loranthaceae
Polygala vayredae,Polygala vayredae Costa,Polygalaceae
Spiranthes lacera var. lacera,Spiranthes lacera var. lacera ,Orchidaceae
Spiranthes lucida,Spiranthes lucida (H.H.Eaton) Ames,Orchidaceae
Spiranthes romanzoffiana,Spiranthes romanzoffiana Cham.,Orchidaceae
Spiranthes vernalis,Spiranthes vernalis Engelm. & A.Gray,Orchidaceae
Spiranthes cernua,Spiranthes cernua (L.) Rich.,Orchidaceae
Spiranthes casei,Spiranthes casei Catling & Cruise,Orchidaceae
Capsicum chinense,Capsicum chinense Jacq.,Solanaceae
Bixa orellana,Bixa orellana L.,Bixaceae
Vaccinium corymbosum × V. darrowi 'Emerald',Vaccinium corymbosum L.,Ericaceae
Vaccinium corymbosum hybrid 'San Joaquin',Vaccinium corymbosum var. albiflorum (Hook.) Fernald,Ericaceae
Brachyloma ericoides,Brachyloma ericoides (Schltdl.) Sond.,Ericaceae
Salvia virgata,Salvia virgata Jacq.,Lamiaceae
Salvia verticillata,Salvia verticillata L.,Lamiaceae
Salvia absconditiflora,Salvia absconditiflora Greuter & Burdet,Lamiaceae
Sacoila lanceolata var. lanceolata,Sacoila lanceolata var. lanceolata ,Orchidaceae
Dracocephalum austriacum,Dracocephalum austriacum L.,Lamiaceae
Gomesa flexuosa,Gomesa flexuosa (G.Lodd.) M.W.Chase & N.H.Williams,Orchidaceae
Gomesa ranifera,Gomesa ranifera (Lindl.) M.W.Chase & N.H.Williams,Orchidaceae
Gomesa cornigera,Gomesa cornigera (Lindl.) M.W.Chase & N.H.Williams,Orchidaceae
Gomesa riograndensis,Gomesa riograndensis (Cogn.) M.W.Chase & N.H.Williams,Orchidaceae
Satyrium cernuum,Satyrium cernuum Thunb.,Orchidaceae
Satyrium longicauda OELM morphotype,Satyrium longicauda Lindl.,Orchidaceae
Satyrium longicauda OFL morphotype,Satyrium longicauda Lindl.,Orchidaceae
Satyrium longicauda TELW morphotype,Satyrium longicauda Lindl.,Orchidaceae
Satyrium longicauda TFLP morphotype,Satyrium longicauda Lindl.,Orchidaceae
Satyrium longicauda TSLG morphotype,Satyrium longicauda Lindl.,Orchidaceae
Cryptantha flava,Cryptantha flava Payson,Boraginaceae
Cryptantha flavoculata,Cryptantha flavoculata Payson,Boraginaceae
Anacyclus valentinus,Anacyclus valentinus L.,Asteraceae
Parodia neohorstii,Parodia neohorstii (S.Theun.) N.P.Taylor,Cactaceae
Scorzonera hispanica,Scorzonera hispanica L.,Asteraceae
Citrus paradisi,Citrus paradisi Macfad.,Rutaceae
Brassica napus L. var. oleifera,Brassica napus L.,Brassicaceae
Centratherum punctatum,Centratherum punctatum Cass.,Asteraceae
Bidens pilosa,Bidens pilosa L.,Asteraceae
Hibiscus rosa-sinensis,Hibiscus rosa-sinensis L.,Malvaceae
Croton scouleri,Croton scouleri Hook.f.,Euphorbiaceae
Weigela subsessilis,Weigela subsessilis L.H.Bailey,Caprifoliaceae
Weigela florida,Weigela florida (Bunge) A.DC.,Caprifoliaceae
Aquilegia brevistyla,Aquilegia brevistyla Hook.,Ranunculaceae
Aquilegia chrysantha,Aquilegia chrysantha A.Gray,Ranunculaceae
Aquilegia eximia,Aquilegia eximia Van Houtte ex Planch.,Ranunculaceae
Aquilegia flavescens,Aquilegia flavescens S.Watson,Ranunculaceae
Aquilegia formosa,Aquilegia formosa Fisch. ex DC.,Ranunculaceae
Aquilegia laramiensis,Aquilegia laramiensis A.Nelson,Ranunculaceae
Aquilegia scopulorum,Aquilegia scopulorum Tidestr.,Ranunculaceae
Abeliophyllum distichum,Abeliophyllum distichum Nakai,Oleaceae
Leontice microrhyncha,Leontice microrrhincha f. venosa (S.Moore) Kitag.,Berberidaceae
Bupleurum euphorbioides,Bupleurum euphorbioides Nakai,Apiaceae
Arum maculatum,Arum maculatum L.,Araceae
Arum hybrid,Arum hygrophilum Boiss.,Araceae
Aquilegia pubescens,Aquilegia pubescens Coville,Ranunculaceae
Callistemon citrinus,Callistemon citrinus (Curtis) Skeels,Myrtaceae
Palicourea angustifolia,Palicourea angustifolia Kunth,Rubiaceae
Afrothismia kupensis,Afrothismia kupensis Cheek & S.A.Williams,Burmanniaceae
Zygophyllum xanthoxylum,Zygophyllum xanthoxylum Engl.,Zygophyllaceae
Buddleja delavayi,Buddleja delavayi L.F.Gagnep.,Scrophulariaceae
Stemona japonica,Stemona japonica (Blume) Miq.,Stemonaceae
Amorphophallus konjac,Amorphophallus konjac K.Koch,Araceae
Nymphaea pulchella,Nymphaea pulchella DC.,Nymphaeaceae
Physalis angulata,Physalis angulata B.Heyne ex Wall.,NA
Physalis peruviana,Physalis peruviana L.,Solanaceae
Utricularia babui,"Utricularia babui S.R.Yadav, Sardesai & S.P.Gaikwad",Lentibulariaceae
Utricularia praeterita,Utricularia praeterita P.Taylor,Lentibulariaceae
Embothrium coccineum,Embothrium coccineum J.R.Forst. & G.Forst.,Proteaceae
Calluna vulgaris,Calluna vulgaris (L.) Hill,Ericaceae
Vaccinium vitis-idaea,Vaccinium vitis-idaea L.,Ericaceae
Mikania urticifolia,Mikania urticifolia Hook. & Arn.,Asteraceae
Costus allenii,Costus allenii Maas,Costaceae
Costus villosissimus,Costus villosissimus Jacq.,Costaceae
Ficus tinctoria subsp. gibbosa,Ficus tinctoria subsp. gibbosa (Blume) Corner,Moraceae
Aeschynanthus acuminatus,Aeschynanthus acuminatus Wall. ex A.DC.,Gesneriaceae
Epimedium pubescens,Epimedium pubescens Maxim.,Berberidaceae
Epimedium wushanense,Epimedium wushanense T.S.Ying,Berberidaceae
Epimedium hybrid,Epimedium hybridum C.Morren,Berberidaceae
Hedysarum scoparium,Hedysarum scoparium Fisch. & C.A.Mey.,Fabaceae
Haloxylon ammodendron,Haloxylon ammodendron (C.A.Mey.) Bunge ex Fenzl,Amaranthaceae
Polygonum jucundum,Polygonum jucundum Meisn.,Polygonaceae
Mussaenda shikokiana,Mussaenda shikokiana Makino,Rubiaceae
Mussaenda pubescens var. alba,Mussaenda pubescens var. alba X.F.Deng & D.X.Zhang,Rubiaceae
Habenaria rhodocheila,Habenaria rhodocheila Hance,Orchidaceae
Onosma confertum,Onosma confertum W.W.Sm.,Boraginaceae
Coelogyne fimbriata,Coelogyne fimbriata Lindl.,Orchidaceae
Glochidion coccineum,Glochidion coccineum (Banks) Müll.Arg.,Phyllanthaceae
Glochidion littorale,Glochidion littorale Benth.,Phyllanthaceae
Glochidion glomerulatum,Glochidion glomerulatum (Miq.) Boerl.,Phyllanthaceae
Glochidion rubrum,Glochidion rubrum Blume,Phyllanthaceae
Robinia pseudoacacia,Robinia pseudoacacia L.,Fabaceae
Malus domestica,Malus domestica Baumg.,NA
Eustegia minuta,Eustegia minuta (L.f.) N.E.Br.,Apocynaceae
Rivea ornata,Rivea ornata Choisy,Convolvulaceae
Monstera obliqua,Monstera obliqua Miq.,Araceae
Barbarea vulgaris,Barbarea vulgaris W.T.Aiton,Brassicaceae
Encholirium heloisae,Encholirium heloisae (L.B.Sm.) Forzza & Wand.,Bromeliaceae
Encholirium vogelii,Encholirium vogelii Rauh,Bromeliaceae
Streptanthus breweri,Streptanthus breweri A.Gray,Brassicaceae
Streptanthus hesperidis,Streptanthus hesperidis Jeps.,Brassicaceae
Tacca borneensis,Tacca borneensis Ridl.,Dioscoreaceae
Tacca cristata,Tacca cristata Jack,Dioscoreaceae
Tacca havilandii,Tacca havilandii S.Y.Wong & K.S.Chua,Dioscoreaceae
Tacca leontopetaloides,Tacca leontopetaloides (L.) Kuntze,Dioscoreaceae
Tacca palmata,Tacca palmata Blume,Dioscoreaceae
Tacca reducta,Tacca reducta P.C.Boyce & S.Julia,Dioscoreaceae
Stylisma pickeringii var. pattersonii,Stylisma pickeringii var. pattersonii (Fernald & B.G.Schub.) Myint,Convolvulaceae
Ligustrum lucidum,Ligustrum lucidum W.T.Aiton,Oleaceae
Carduus sp.,Carduus L.,Asteraceae
Crepis sp.,Crepis L.,Asteraceae
Polygonum sp.,Polygonum L.,Polygonaceae
Bidens sp.,Bidens L.,Asteraceae
Baccharis sp.,Baccharis L.,Asteraceae
Geoblasta pennicillata,Geoblasta penicillata (Rchb.f.) Hoehne ex M.N.Correa,Orchidaceae
Cremanthodium campanulatum,Cremanthodium campanulatum (Franch.) Diels,Asteraceae
Artabotrys brachypetalus,Artabotrys brachypetalus Benth.,Annonaceae
Gennaria diphylla,Gennaria diphylla (Link) Parl.,Orchidaceae
Triadica sebifera,Triadica sebifera (L.) Small,Euphorbiaceae
Drymonia affinis,Drymonia affinis (Mansf.) Wiehler,Gesneriaceae
Drymonia dodsonii,Drymonia dodsonii (Wiehler) J.L.Clark,Gesneriaceae
Drymonia ecuadorensis,Drymonia ecuadorensis Wiehler,Gesneriaceae
Drymonia hoppii,Drymonia hoppii (Mansf.) Wiehler,Gesneriaceae
Drymonia tenuis,Drymonia tenuis (Benth.) J.L.Clark,Gesneriaceae
Drymonia urceolata,Drymonia urceolata Wiehler,Gesneriaceae
Agave shawii subsp. shawii,Agave shawii subsp. shawii ,Asparagaceae
Stenocereus eruca,Stenocereus eruca (K.Brandegee) A.C.Gibson & K.E.Horak,Cactaceae
Artedia squamata,Artedia squamata L.,Apiaceae
Echinophora trichophylla,Echinophora trichophylla Sm.,Apiaceae
Daucus carota subsp. carota,Daucus carota f. carota ,Apiaceae
Cajophora coronata,NA,NA
Triumfetta semitriloba,Triumfetta semitriloba Jacq.,Malvaceae
Yucca jaegeriana,Yucca jaegeriana (McKelvey) L.W.Lenz,Asparagaceae
Dianthus sylvestris,Dianthus sylvestris Wulfen,Caryophyllaceae
Echinacea laevigata,Echinacea laevigata (C.L.Boynton & Beadle) S.F.Blake,Asteraceae
Calothamnus quadrifidus,Calothamnus quadrifidus R.Br.,Myrtaceae
Banksia prionotes,Banksia prionotes Lindl.,Proteaceae
Leucospermum conocarpodendron,Leucospermum conocarpodendron H.Buek,Proteaceae
Dryandra sessilis,Dryandra sessilis Domin,Proteaceae
Grevillea wilsonii,Grevillea wilsonii A.Cunn.,Proteaceae
Limonium species complex,Limonium compactum Erben & Brullo,Plumbaginaceae
Ficus fulva,Ficus fulva Reinw. ex Blume,Moraceae
Ficus hispida,Ficus hispida L.f.,Moraceae
Ficus septica,Ficus septica Burm.f.,Moraceae
Disa karooica,Disa karooica S.D.Johnson & H.P.Linder,Orchidaceae
Pelargonium stipulaceum,Pelargonium stipulaceum Willd.,Geraniaceae
Hamelia patens,Hamelia patens Jacq.,Rubiaceae
Solanum melissarum,Solanum melissarum Bohs,Solanaceae
Grevillea lanigera,Grevillea lanigera A.Cunn. ex R.Br.,Proteaceae
Hakea lissosperma,Hakea lissosperma R.Br.,Proteaceae
Olearia phlogopappa,Olearia phlogopappa DC.,Asteraceae
Craspedia lamicola,Craspedia lamicola J.Everett & Joy Thomps.,Asteraceae
Celmisia costiniana,Celmisia costiniana M.Gray & Given,NA
Mandevilla sellowii,Mandevilla sellowii Woodson,Apocynaceae
Minaria acerosa,Minaria acerosa (Mart.) T.U.P.Konno & Rapini,Apocynaceae
Salvia pratensis,Salvia pratensis L.,Lamiaceae
Salvia austriaca,Salvia austriaca Jacq.,Lamiaceae
Salvia nemorosa,Salvia nemorosa L.,Lamiaceae
Salvia aethiopis,Salvia aethiopis L.,Lamiaceae
Salvia glutinosa,Salvia glutinosa L.,Lamiaceae
Salvia haenkei,Salvia haenkei Benth.,Lamiaceae
Salvia orbignaei,Salvia orbignaei Benth.,Lamiaceae
Aster curtus,Aster curtus Cronquist,Asteraceae
Ficus sycomorus,Ficus sycomorus L.,Moraceae
Ficus lutea,Ficus lutea Vahl,Moraceae
Ficus antandronarum subsp. bernardii,Ficus antandronarum subsp. bernardii C.C.Berg,Moraceae
Thalia geniculata,Thalia geniculata L.,Marantaceae
Ceropegia ampliata,Ceropegia ampliata E.Mey.,Apocynaceae
Syzygium guineense subsp. barotsense,Syzygium guineense subsp. barotsense F.White,Myrtaceae
Julbernardia paniculata,Julbernardia paniculata (Benth.) Troupin,Fabaceae
Pedicularis cephalantha,Pedicularis cephalantha Franch. ex Maxim.,Orobanchaceae
Pedicularis longiflora,Pedicularis longiflora Rudolph,Orobanchaceae
Pedicularis oxycarpa,Pedicularis oxycarpa Franch. ex Maxim.,Orobanchaceae
Pedicularis rex,Pedicularis rex C.B.Clarke ex Maxim.,Orobanchaceae
Pedicularis siphonantha,Pedicularis siphonantha D.Don,Orobanchaceae
Campomanesia phaea,Campomanesia phaea (O.Berg) Landrum,Myrtaceae
Fragaria x ananassa,Fragaria abnormis Tratt.,Rosaceae
Collaea argentina,Collaea argentina Griseb.,Fabaceae
Galactia latisiliqua,Galactia latisiliqua Desv.,Fabaceae
Lathyrus odoratus,Lathyrus odoratus L.,Fabaceae
Spartium junceum,Spartium junceum L.,Fabaceae
Tipuana tipu,Tipuana tipu (Benth.) Kuntze,Fabaceae
Ferocactus recurvus subsp. recurvus,Ferocactus recurvus subsp. recurvus ,Cactaceae
Eryngium maritimum,Eryngium maritimum L.,Apiaceae
Silene nutans,Silene nutans L.,Caryophyllaceae
Nierembergia linariifolia,Nierembergia linariifolia Graham,Solanaceae
Rhynchospora ciliata,Rhynchospora ciliata Vahl,Cyperaceae
Rhynchospora pubera,Rhynchospora pubera (Vahl) Boeckeler,Cyperaceae
Solanum lycopersicum L. cv. Tronus,Solanum lycopersicum L.,Solanaceae
Desmodium cuneatum,Desmodium cuneatum Hook. & Arn.,Fabaceae
Dalea elegans,Dalea elegans Gillies ex Hook.,Fabaceae
Blyxa octandra,Blyxa octandra (Roxb.) Planch. ex Thwaites,Hydrocharitaceae
Commelina erecta,Commelina erecta L.,Commelinaceae
Psychotria carthagenensis,Psychotria carthagenensis Jacq.,Rubiaceae
Erythrina fusca,Erythrina fusca Lour.,Fabaceae
Rutidosis leptorhynchoides,Rutidosis leptorhynchoides F.Muell.,Asteraceae
Freycinetia reineckei,Freycinetia reineckei Warb. ex Reinecke,Pandanaceae
Anacamptis papilionacea subsp. papilionacea,Anacamptis papilionacea subsp. papilionacea ,Orchidaceae
Anacamptis papilionacea subsp. grandiflora,Anacamptis papilionacea subsp. grandiflora (Boiss.) Kreutz,Orchidaceae
Phormium tenax,Phormium tenax J.R.Forst. & G.Forst.,Asphodelaceae
Lepechinia floribunda,Lepechinia floribunda (Benth.) Epling,Lamiaceae
Thelymitra epipactoides,Thelymitra epipactoides F.Muell.,Orchidaceae
Erythrina breviflora,Erythrina breviflora Moc. & Sessé ex DC.,Fabaceae
Turnera subulata,Turnera subulata Sm.,Passifloraceae
Richardia grandiflora,Richardia grandiflora (Cham. & Schltdl.) Steud.,Rubiaceae
Inga vera subsp. affinis,Inga vera subsp. affinis (DC.) T.D.Penn.,Fabaceae
Inga striata,Inga striata Benth.,Fabaceae
Inga ingoides,Inga ingoides (Rich.) Willd.,Fabaceae
Eriosyce curvispina,Eriosyce curvispina (Bertero ex Colla) Katt.,Cactaceae
Fuchsia microphylla,Fuchsia microphylla Kunth,Onagraceae
Kallstroemia grandiflora,Kallstroemia grandiflora Torr. ex A.Gray,Zygophyllaceae
Pinguicula moranensis,Pinguicula moranensis Kunth,Lentibulariaceae
Inga vera,Inga vera Willd.,Fabaceae
Alliaria petiolata,Alliaria petiolata (M.Bieb.) Cavara & Grande,Brassicaceae
Nemophila menziesii,Nemophila menziesii Hook. & Arn.,Boraginaceae
Nemophila atomaria,Nemophila atomaria Fisch. & C.A.Mey.,Boraginaceae
Nemophila integrifolia,Nemophila integrifolia (Parish) Abrams,Boraginaceae
Penstemon gracilis ssp. wisconsinensis,Penstemon gracilis var. wisconsinensis (Pennell) Fassett,Plantaginaceae
Penstemon pallidus,Penstemon pallidus Small,Plantaginaceae
